Text,Folio
urn:cts:greekLit:tlg5026.msA.hmt:10.1003,urn:cite:hmt:msA.128r
urn:cts:greekLit:tlg5026.msA.hmt:10.1005,urn:cite:hmt:msA.128r
urn:cts:greekLit:tlg5026.msA.hmt:10.1006,urn:cite:hmt:msA.128r
urn:cts:greekLit:tlg5026.msA.hmt:10.1007,urn:cite:hmt:msA.128r
urn:cts:greekLit:tlg5026.msA.hmt:10.1008,urn:cite:hmt:msA.128r
urn:cts:greekLit:tlg5026.msA.hmt:10.1009,urn:cite:hmt:msA.128r
urn:cts:greekLit:tlg5026.msAim.hmt:10.1004,urn:cite:hmt:msA.128r
urn:cts:greekLit:tlg5026.msAim.hmt:10.1026,urn:cite:hmt:msA.128r
urn:cts:greekLit:tlg5026.msAint.hmt:10.1012,urn:cite:hmt:msA.128r
urn:cts:greekLit:tlg5026.msAint.hmt:10.1013,urn:cite:hmt:msA.128r
urn:cts:greekLit:tlg5026.msAint.hmt:10.1014,urn:cite:hmt:msA.128r
urn:cts:greekLit:tlg5026.msAint.hmt:10.1015,urn:cite:hmt:msA.128r
urn:cts:greekLit:tlg5026.msAext.hmt:10.1010,urn:cite:hmt:msA.128r
urn:cts:greekLit:tlg5026.msAext.hmt:10.1011,urn:cite:hmt:msA.128r
urn:cts:greekLit:tlg5026.msAil.hmt:10.1016,urn:cite:hmt:msA.128r
urn:cts:greekLit:tlg5026.msAil.hmt:10.1017,urn:cite:hmt:msA.128r
urn:cts:greekLit:tlg5026.msAil.hmt:10.5000,urn:cite:hmt:msA.128r
urn:cts:greekLit:tlg5026.msAil.hmt:10.1018,urn:cite:hmt:msA.128r
urn:cts:greekLit:tlg5026.msAil.hmt:10.1019,urn:cite:hmt:msA.128r
urn:cts:greekLit:tlg5026.msAil.hmt:10.1020,urn:cite:hmt:msA.128r
urn:cts:greekLit:tlg5026.msAil.hmt:10.1021,urn:cite:hmt:msA.128r
urn:cts:greekLit:tlg5026.msAil.hmt:10.1022,urn:cite:hmt:msA.128r
urn:cts:greekLit:tlg5026.msAil.hmt:10.1023,urn:cite:hmt:msA.128r
urn:cts:greekLit:tlg5026.msAil.hmt:10.1024,urn:cite:hmt:msA.128r
urn:cts:greekLit:tlg5026.msAil.hmt:10.1025,urn:cite:hmt:msA.128r
urn:cts:greekLit:tlg5026.msA.hmt:10.1500,urn:cite:hmt:msA.128v
urn:cts:greekLit:tlg5026.msA.hmt:10.1501,urn:cite:hmt:msA.128v
urn:cts:greekLit:tlg5026.msA.hmt:10.1502,urn:cite:hmt:msA.128v
urn:cts:greekLit:tlg5026.msA.hmt:10.1503,urn:cite:hmt:msA.128v
urn:cts:greekLit:tlg5026.msA.hmt:10.1504,urn:cite:hmt:msA.128v
urn:cts:greekLit:tlg5026.msA.hmt:10.1505,urn:cite:hmt:msA.128v
urn:cts:greekLit:tlg5026.msA.hmt:10.1506,urn:cite:hmt:msA.128v
urn:cts:greekLit:tlg5026.msAim.hmt:10.1507,urn:cite:hmt:msA.128v
urn:cts:greekLit:tlg5026.msAim.hmt:10.1508,urn:cite:hmt:msA.128v
urn:cts:greekLit:tlg5026.msAim.hmt:10.1509,urn:cite:hmt:msA.128v
urn:cts:greekLit:tlg5026.msAim.hmt:10.1510,urn:cite:hmt:msA.128v
urn:cts:greekLit:tlg5026.msAim.hmt:10.1511,urn:cite:hmt:msA.128v
urn:cts:greekLit:tlg5026.msAint.hmt:10.1512,urn:cite:hmt:msA.128v
urn:cts:greekLit:tlg5026.msAext.hmt:10.1513,urn:cite:hmt:msA.128v
urn:cts:greekLit:tlg5026.msAil.hmt:10.1514,urn:cite:hmt:msA.128v
urn:cts:greekLit:tlg5026.msAil.hmt:10.1515,urn:cite:hmt:msA.128v
urn:cts:greekLit:tlg5026.msAil.hmt:10.1516,urn:cite:hmt:msA.128v
urn:cts:greekLit:tlg5026.msAil.hmt:10.1517,urn:cite:hmt:msA.128v
urn:cts:greekLit:tlg5026.msAil.hmt:10.1518,urn:cite:hmt:msA.128v
urn:cts:greekLit:tlg5026.msAil.hmt:10.1519,urn:cite:hmt:msA.128v
urn:cts:greekLit:tlg5026.msAil.hmt:10.1520,urn:cite:hmt:msA.128v
urn:cts:greekLit:tlg5026.msA.hmt:10.1521,urn:cite:hmt:msA.129r
urn:cts:greekLit:tlg5026.msA.hmt:10.1522,urn:cite:hmt:msA.129r
urn:cts:greekLit:tlg5026.msA.hmt:10.1523,urn:cite:hmt:msA.129r
urn:cts:greekLit:tlg5026.msA.hmt:10.1524,urn:cite:hmt:msA.129r
urn:cts:greekLit:tlg5026.msA.hmt:10.1525,urn:cite:hmt:msA.129r
urn:cts:greekLit:tlg5026.msA.hmt:10.1526,urn:cite:hmt:msA.129r
urn:cts:greekLit:tlg5026.msA.hmt:10.1527,urn:cite:hmt:msA.129r
urn:cts:greekLit:tlg5026.msA.hmt:10.1528,urn:cite:hmt:msA.129r
urn:cts:greekLit:tlg5026.msA.hmt:10.1529,urn:cite:hmt:msA.129r
urn:cts:greekLit:tlg5026.msA.hmt:10.1530,urn:cite:hmt:msA.129r
urn:cts:greekLit:tlg5026.msA.hmt:10.1531,urn:cite:hmt:msA.129r
urn:cts:greekLit:tlg5026.msAim.hmt:10.1532,urn:cite:hmt:msA.129r
urn:cts:greekLit:tlg5026.msAim.hmt:10.1533,urn:cite:hmt:msA.129r
urn:cts:greekLit:tlg5026.msAint.hmt:10.1534,urn:cite:hmt:msA.129r
urn:cts:greekLit:tlg5026.msAint.hmt:10.1535,urn:cite:hmt:msA.129r
urn:cts:greekLit:tlg5026.msAint.hmt:10.1536,urn:cite:hmt:msA.129r
urn:cts:greekLit:tlg5026.msAint.hmt:10.1537,urn:cite:hmt:msA.129r
urn:cts:greekLit:tlg5026.msAil.hmt:10.1538,urn:cite:hmt:msA.129r
urn:cts:greekLit:tlg5026.msAil.hmt:10.1539,urn:cite:hmt:msA.129r
urn:cts:greekLit:tlg5026.msAil.hmt:10.1540,urn:cite:hmt:msA.129r
urn:cts:greekLit:tlg5026.msAil.hmt:10.1541,urn:cite:hmt:msA.129r
urn:cts:greekLit:tlg5026.msAil.hmt:10.1542,urn:cite:hmt:msA.129r
urn:cts:greekLit:tlg5026.msAil.hmt:10.1543,urn:cite:hmt:msA.129r
urn:cts:greekLit:tlg5026.msAil.hmt:10.1544,urn:cite:hmt:msA.129r
urn:cts:greekLit:tlg5026.msAil.hmt:10.1545,urn:cite:hmt:msA.129r
urn:cts:greekLit:tlg5026.msAil.hmt:10.1546,urn:cite:hmt:msA.129r
urn:cts:greekLit:tlg5026.msA.hmt:10.1547,urn:cite:hmt:msA.129v
urn:cts:greekLit:tlg5026.msA.hmt:10.1548,urn:cite:hmt:msA.129v
urn:cts:greekLit:tlg5026.msA.hmt:10.1549,urn:cite:hmt:msA.129v
urn:cts:greekLit:tlg5026.msA.hmt:10.1550,urn:cite:hmt:msA.129v
urn:cts:greekLit:tlg5026.msA.hmt:10.1551,urn:cite:hmt:msA.129v
urn:cts:greekLit:tlg5026.msAim.hmt:10.1552,urn:cite:hmt:msA.129v
urn:cts:greekLit:tlg5026.msAim.hmt:10.1553,urn:cite:hmt:msA.129v
urn:cts:greekLit:tlg5026.msAint.hmt:10.1554,urn:cite:hmt:msA.129v
urn:cts:greekLit:tlg5026.msAim.hmt:10.1555,urn:cite:hmt:msA.129v
urn:cts:greekLit:tlg5026.msAext.hmt:10.1556,urn:cite:hmt:msA.129v
urn:cts:greekLit:tlg5026.msAext.hmt:10.1557,urn:cite:hmt:msA.129v
