URN,ImageReference
urn:cts:greekLit:tlg0012.tlg001.msA:10.422,"urn:cite:hmt:vaimg.VA134RN-0306@0.1672,0.5868,0.4154,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:10.424,"urn:cite:hmt:vaimg.VA134RN-0306@0.1592,0.6243,0.4244,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:10.409,"urn:cite:hmt:vaimg.VA134RN-0306@0.1552,0.3418,0.4324,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:10.414,"urn:cite:hmt:vaimg.VA134RN-0306@0.1722,0.4358,0.3984,0.027"
urn:cts:greekLit:tlg0012tlg001.msA:10.428,"urn:cite:hmt:vaimg.VA134VN-0636@0.4835,0.2539,0.3904,0.0233"
urn:cts:greekLit:tlg0012.tlg001.msA:10.443,"urn:cite:hmt:vaimg.VA134VN-0636@0.5025,0.5349,0.3734,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:10.406,"urn:cite:hmt:vaimg.VA134RN-0306@0.1782,0.2847,0.4244,0.024"
urn:cts:greekLit:tlg0012tlg001.msA:10.431,"urn:cite:hmt:vaimg.VA134VN-0636@0.5025,0.3095,0.3924,0.0233"
urn:cts:greekLit:tlg0012.tlg001.msA:10.407,"urn:cite:hmt:vaimg.VA134RN-0306@0.1772,0.3013,0.4244,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:10.419,"urn:cite:hmt:vaimg.VA134RN-0306@0.1722,0.5327,0.3904,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:10.423,"urn:cite:hmt:vaimg.VA134RN-0306@0.1632,0.6078,0.4374,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:10.434,"urn:cite:hmt:vaimg.VA134VN-0636@0.4995,0.3674,0.3944,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:10.441,"urn:cite:hmt:vaimg.VA134VN-0636@0.4995,0.4974,0.3724,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:10.408,"urn:cite:hmt:vaimg.VA134RN-0306@0.1602,0.3223,0.4324,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:10.410,"urn:cite:hmt:vaimg.VA134RN-0306@0.1562,0.3599,0.4494,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:10.412,"urn:cite:hmt:vaimg.VA134RN-0306@0.1772,0.4005,0.4124,0.0233"
urn:cts:greekLit:tlg0012.tlg001.msA:10.415,"urn:cite:hmt:vaimg.VA134RN-0306@0.1722,0.4576,0.3984,0.0233"
urn:cts:greekLit:tlg0012.tlg001.msA:10.421,"urn:cite:hmt:vaimg.VA134RN-0306@0.1672,0.568,0.4104,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:10.438,"urn:cite:hmt:vaimg.VA134VN-0636@0.5015,0.4425,0.3834,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:10.440,"urn:cite:hmt:vaimg.VA134VN-0636@0.5015,0.4786,0.3974,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:10.442,"urn:cite:hmt:vaimg.VA134VN-0636@0.5015,0.5162,0.3994,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:10.446,"urn:cite:hmt:vaimg.VA134VN-0636@0.5055,0.592,0.4164,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:10.411,"urn:cite:hmt:vaimg.VA134RN-0306@0.1532,0.3809,0.4244,0.024"
urn:cts:greekLit:tlg0012.tlg001.msA:10.426,"urn:cite:hmt:vaimg.VA134RN-0306@0.1572,0.6642,0.4114,0.027"
urn:cts:greekLit:tlg0012tlg001.msA:10.430,"urn:cite:hmt:vaimg.VA134VN-0636@0.4815,0.29,0.4054,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:10.439,"urn:cite:hmt:vaimg.VA134VN-0636@0.5005,0.4621,0.3914,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:10.420,"urn:cite:hmt:vaimg.VA134RN-0306@0.1662,0.5507,0.4044,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:10.425,"urn:cite:hmt:vaimg.VA134RN-0306@0.1632,0.6446,0.4004,0.0278"
urn:cts:greekLit:tlg0012tlg001.msA:10.427,"urn:cite:hmt:vaimg.VA134VN-0636@0.4975,0.2299,0.4044,0.0285"
urn:cts:greekLit:tlg0012tlg001.msA:10.432,"urn:cite:hmt:vaimg.VA134VN-0636@0.5045,0.3276,0.3614,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:10.436,"urn:cite:hmt:vaimg.VA134VN-0636@0.4995,0.4035,0.3834,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:10.437,"urn:cite:hmt:vaimg.VA134VN-0636@0.4995,0.4222,0.3834,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:10.451,"urn:cite:hmt:vaimg.VA134VN-0636@0.5105,0.6844,0.3854,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:10.445,"urn:cite:hmt:vaimg.VA134VN-0636@0.4955,0.574,0.3894,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:10.447,"urn:cite:hmt:vaimg.VA134VN-0636@0.4865,0.6116,0.3724,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:10.450,"urn:cite:hmt:vaimg.VA134VN-0636@0.5095,0.6649,0.3854,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:10.1,"urn:cite:hmt:vaimg.VA126RN-0298@0.1451,0.1833,0.4474,0.0654"
urn:cts:greekLit:tlg0012.tlg001.msA:10.12,"urn:cite:hmt:vaimg.VA126RN-0298@0.165,0.4171,0.446,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:10.19,"urn:cite:hmt:vaimg.VA126RN-0298@0.1672,0.55,0.4134,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:10.2,"urn:cite:hmt:vaimg.VA126RN-0298@0.19,0.2206,0.435,0.0315"
urn:cts:greekLit:tlg0012.tlg001.msA:10.5,"urn:cite:hmt:vaimg.VA126RN-0298@0.1642,0.284,0.4404,0.0225"
urn:cts:greekLit:tlg0012.tlg001.msA:10.21,"urn:cite:hmt:vaimg.VA126RN-0298@0.1732,0.5875,0.4074,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:10.3,"urn:cite:hmt:vaimg.VA126RN-0298@0.1802,0.2464,0.4114,0.0188"
urn:cts:greekLit:tlg0012.tlg001.msA:10.10,"urn:cite:hmt:vaimg.VA126RN-0298@0.1592,0.3779,0.4675,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:10.4,"urn:cite:hmt:vaimg.VA126RN-0298@0.183,0.2618,0.435,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:10.15,"urn:cite:hmt:vaimg.VA126RN-0298@0.1632,0.4726,0.4595,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:10.6,"urn:cite:hmt:vaimg.VA126RN-0298@0.1822,0.3043,0.4434,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:10.20,"urn:cite:hmt:vaimg.VA126RN-0298@0.16,0.5694,0.446,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:10.24,"urn:cite:hmt:vaimg.VA126RN-0298@0.157,0.6452,0.446,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:10.8,"urn:cite:hmt:vaimg.VA126RN-0298@0.1732,0.3403,0.4264,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:10.7,"urn:cite:hmt:vaimg.VA126RN-0298@0.162,0.3203,0.455,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:10.11,"urn:cite:hmt:vaimg.VA126RN-0298@0.1622,0.3967,0.4194,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:10.18,"urn:cite:hmt:vaimg.VA126RN-0298@0.166,0.5319,0.446,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:10.9,"urn:cite:hmt:vaimg.VA126RN-0298@0.1762,0.3554,0.4505,0.0338"
urn:cts:greekLit:tlg0012.tlg001.msA:10.13,"urn:cite:hmt:vaimg.VA126RN-0298@0.1752,0.4328,0.4484,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:10.14,"urn:cite:hmt:vaimg.VA126RN-0298@0.167,0.4531,0.446,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:10.22,"urn:cite:hmt:vaimg.VA126RN-0298@0.157,0.6077,0.446,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:10.16,"urn:cite:hmt:vaimg.VA126RN-0298@0.164,0.4921,0.446,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:10.23,"urn:cite:hmt:vaimg.VA126RN-0298@0.1642,0.6251,0.4434,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:10.25,"urn:cite:hmt:vaimg.VA126RN-0298@0.1642,0.6627,0.4444,0.0301"
urn:cts:greekLit:tlg0012.tlg001.msA:10.17,"urn:cite:hmt:vaimg.VA126RN-0298@0.176,0.5105,0.396,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:10.26,"urn:cite:hmt:vaimg.VA126VN-0629@0.484,0.2179,0.409,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:10.27,"urn:cite:hmt:vaimg.VA126VN-0629@0.484,0.2359,0.395,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:10.28,"urn:cite:hmt:vaimg.VA126VN-0629@0.487,0.2577,0.416,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:10.29,"urn:cite:hmt:vaimg.VA126VN-0629@0.487,0.275,0.416,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:10.30,"urn:cite:hmt:vaimg.VA126VN-0629@0.483,0.2953,0.436,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:10.31,"urn:cite:hmt:vaimg.VA126VN-0629@0.482,0.3125,0.402,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:10.32,"urn:cite:hmt:vaimg.VA126VN-0629@0.489,0.3313,0.408,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:10.33,"urn:cite:hmt:vaimg.VA126VN-0629@0.481,0.3516,0.351,0.0263"
